tabela_num;nivel_geo;localidade;sigla_uf;tipo_recorte;categoria_recorte;indicador;ano;valor;unidade;faixa;ranking_ano;total_ranking;ranking_publicacao;classificacao_publicacao
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2020;0.682;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2021;0.805;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2021;0.84;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2021;0.8;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2021;0.776;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2021;0.722;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2021;0.787;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2021;0.718;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2021;0.667;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2022;0.837;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2022;0.894;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2022;0.825;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2022;0.794;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2022;0.753;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2022;0.824;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2022;0.749;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2022;0.693;Índice;Médio;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2023;0.847;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2023;0.911;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2023;0.833;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2023;0.802;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2023;0.765;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2023;0.841;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2023;0.76;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Renda;2023;0.7;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM;2024;0.851;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Longevidade;2024;0.913;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Educação;2024;0.838;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Branco;IDHM Renda;2024;0.806;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM;2024;0.774;Índice;Alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Longevidade;2024;0.846;Índice;Muito alto;;;;
3;Brasil;Brasil;BR;Raça/cor;Negro;IDHM Educação;2024;0.77;Índice;Alto;;;;
